Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
3.054818358E1,3.788621521E-1,2.807262268E0,-1.212837891E1
3.055822958E1,-4.498146057E-1,4.009262695E0,-1.215637070E1
3.056827558E1,1.971250763E0,3.539539490E0,-1.183379150E1
3.057832158E1,1.141675873E0,3.946992188E0,-1.203497314E1
3.058836758E1,-2.282752991E0,2.479144592E0,-1.153321655E1
3.059841358E1,-7.934999084E-1,1.333876190E0,-1.202224960E1
3.060845958E1,1.372346191E0,1.325044556E0,-1.005593857E1
3.061850558E1,3.775149536E-1,2.010169830E0,-9.353299713E0
3.062855158E1,-1.423090668E0,3.823798370E0,-1.039917480E1
3.063859758E1,-2.462229767E0,5.885012054E0,-8.780890045E0
3.064864358E1,-1.092727661E-1,4.922064514E0,-9.073381805E0
3.065868958E1,-1.582658844E0,6.571783905E0,-6.835086365E0
3.066873558E1,-3.374133453E0,6.297703857E0,-9.907447357E0
3.067878158E1,-3.818110199E0,4.710554352E0,-1.232057922E1
3.068882758E1,-3.288212128E0,4.622387695E0,-1.105765549E1
3.069887358E1,-2.126328278E0,4.358486481E0,-1.092488159E1
3.070891958E1,-2.711611176E0,2.345472565E0,-1.226160187E1
3.071896558E1,-4.013453979E0,2.949765930E0,-1.154414383E1
3.072901158E1,1.461860046E0,3.985462189E0,-1.077519287E1
3.073905758E1,3.320095825E0,4.372856598E0,-1.010533585E1
3.074910358E1,-9.291178894E-1,4.020339661E0,-1.340477463E1
3.075914958E1,1.095122681E0,2.138902130E0,-1.180984131E1
3.076919558E1,3.913012848E0,1.437610474E0,-6.311924286E0
3.077924158E1,1.804048462E0,3.583547974E-1,-1.028331573E1
3.078928758E1,-1.445693665E0,1.895059204E0,-9.516310730E0
3.079933358E1,2.004930725E0,1.089135132E0,-1.175685150E1
3.080937958E1,3.710933075E0,-1.117875366E0,-1.147543671E1
3.081942558E1,3.227887573E0,1.378034363E0,-7.999514923E0
3.082947158E1,-2.172133026E0,3.704047394E0,-9.606722717E0
3.083951758E1,-1.005309448E0,4.522695007E0,-9.336833954E0
3.084956358E1,3.242557068E0,3.876189423E0,-6.951095123E0
3.085960958E1,-5.307962036E-1,4.593048706E0,-8.424032135E0
3.086965558E1,-3.311413879E0,6.088888092E0,-1.125240051E1
3.087970158E1,-3.794609070E-1,5.981860657E0,-1.061442719E1
3.088974758E1,4.025129700E0,3.421285400E0,-7.289241943E0
3.089979358E1,9.276210022E-1,1.205742645E0,-9.205706635E0
3.090983958E1,-1.173559570E-1,1.413660278E0,-1.023855881E1
3.091988558E1,1.702110443E0,2.283800812E0,-9.924811249E0
3.092993158E1,-1.046773224E0,4.370760956E0,-1.228151047E1
3.093997758E1,-1.762285309E0,3.534899139E0,-1.210113556E1
3.095002358E1,-1.939217377E0,1.900447998E0,-1.004486160E1
3.096006958E1,-2.264940033E0,1.847009125E0,-1.021326141E1
3.097011558E1,-3.475023651E0,1.989063721E0,-1.137709122E1
3.098016158E1,-9.985734558E-1,6.959028625E-1,-1.290002426E1
3.099020758E1,-2.188299408E0,2.192041626E0,-9.711355133E0
3.100025358E1,-3.990252228E0,3.428769836E0,-8.793164520E0
3.101029958E1,-1.994452515E0,2.870879974E0,-9.980495453E0
3.102034558E1,1.423539734E0,1.861678619E0,-9.132957916E0
3.103039158E1,-1.260379028E0,2.772684174E0,-9.377100220E0
