Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.099221146E1,3.744588466E-3,9.885855950E-3,-7.986163255E-4
1.100225746E1,-7.711648941E-4,1.037344616E-2,2.985727042E-5
1.101230346E1,9.843907319E-4,1.182610751E-3,1.444528461E-3
1.102235046E1,4.786150530E-3,6.717758719E-3,-2.737070899E-4
1.103239646E1,1.390620368E-3,6.398179568E-3,3.931482788E-4
1.104244246E1,-2.054275945E-3,3.994642757E-3,-1.191734802E-3
1.105248846E1,1.360695343E-3,2.247076249E-3,1.449322212E-3
1.106253446E1,1.533268252E-3,8.694230346E-4,-1.944077667E-3
1.107258146E1,1.890566899E-3,2.520191018E-3,-1.844409388E-3
1.108262746E1,7.210836746E-3,6.374168675E-3,2.138073323E-3
1.109267346E1,5.151148420E-3,2.863323083E-3,1.146036666E-4
1.110271946E1,-9.654047899E-4,2.850075951E-3,-5.021125544E-4
1.111276546E1,2.837056760E-3,2.020111242E-5,4.893823061E-4
1.112281146E1,2.414945746E-3,-6.954741548E-5,7.796667051E-4
1.113285846E1,-1.964818221E-3,4.362683278E-3,-2.989852801E-4
1.114290446E1,-3.153773025E-3,2.007434610E-3,-5.731037818E-4
1.115295046E1,-9.987433441E-4,-1.649618149E-3,1.305223675E-3
1.116299646E1,-1.866183709E-3,-1.349230763E-3,-5.766702816E-5
1.117304246E1,1.671398059E-4,1.540831639E-3,5.636482965E-4
1.118308946E1,2.229151782E-3,-1.743763220E-3,1.875560149E-3
1.119313546E1,2.509555779E-4,3.336216556E-3,2.332824981E-3
1.120318146E1,-2.768269274E-3,7.951208390E-4,8.250863757E-4
1.121322746E1,-1.514719799E-3,-1.950331847E-3,3.972143866E-3
1.122327346E1,1.708286349E-3,3.677743487E-3,1.163436798E-3
1.123331946E1,4.550944548E-3,-1.559096505E-3,3.639377654E-3
1.124336646E1,7.747417316E-3,-6.375910016E-4,4.953009076E-3
1.125341246E1,3.316183574E-3,4.753712565E-3,2.755368827E-3
1.126345846E1,-2.552863210E-3,-2.633524593E-3,1.104548457E-3
1.127350446E1,-1.680677757E-3,-4.977905657E-3,4.718724638E-3
1.128355046E1,1.556513365E-3,3.390425991E-4,3.820206039E-3
1.129359746E1,5.170814693E-4,1.834141207E-3,-2.994379029E-4
1.130364346E1,-3.310293891E-3,-5.227282643E-3,8.390824078E-4
1.131368946E1,-1.876980532E-3,-8.041711524E-3,1.738246065E-4
1.132373546E1,2.933971118E-3,2.982265141E-4,1.530227135E-3
1.133378146E1,-2.684233245E-3,5.200678133E-4,-1.006927341E-4
1.134382746E1,-5.799285602E-3,-8.720990445E-5,-1.543145860E-3
1.135387446E1,-5.763332825E-3,-6.564550102E-3,-4.304768518E-4
1.136392046E1,1.817403361E-3,8.298302069E-3,1.059913891E-3
1.137396646E1,2.726606559E-3,1.355618145E-2,-3.480509389E-3
1.138401246E1,-9.727932513E-3,3.969241399E-3,-4.804329947E-3
1.139405846E1,-1.034552045E-2,-4.968859721E-3,-6.477060728E-3
1.140410546E1,2.487288089E-3,-4.532411695E-3,-8.928447496E-4
1.141415146E1,3.315264825E-3,4.422467202E-3,9.656202979E-3
1.142419746E1,-5.703944713E-3,2.700610086E-2,-8.426379412E-3
1.143424346E1,-1.523433253E-2,-1.926659048E-2,-1.940126717E-2
1.144428946E1,1.549447887E-2,-2.803968079E-2,1.399607491E-2
1.145433546E1,1.164035313E-2,4.128053784E-2,-7.992580533E-3
1.146438246E1,-1.923894882E-2,1.015708782E-2,-9.665261023E-3
1.147442846E1,-2.429149672E-2,-2.674793266E-2,5.537128076E-3
1.148447396E1,1.528660860E-2,4.512980115E-3,2.058151923E-2
1.149451996E1,4.384581372E-2,4.927672446E-2,3.590817098E-3
1.150456596E1,-4.823165480E-3,2.942335093E-3,1.423961110E-2
1.151461296E1,-3.627589718E-2,-6.650432624E-5,1.547451876E-2
1.152465896E1,-8.786092512E-3,1.983889565E-2,2.422509948E-3
1.153470496E1,2.303708345E-2,-1.401707157E-2,-1.780739427E-2
1.154475096E1,-6.600599736E-4,-5.619641393E-2,-2.622158080E-2
1.155479696E1,8.313461207E-3,-2.253405750E-2,-1.508557238E-2
1.156484296E1,6.601437461E-3,1.171769947E-2,-1.750320941E-2
1.157488996E1,-1.158289332E-2,-5.412469432E-2,1.245192252E-4
1.158493596E1,1.754146069E-2,-4.990164656E-3,-3.237246536E-3
1.159498196E1,4.429504648E-2,3.232604638E-2,8.304094896E-3
1.160502796E1,2.176116407E-2,1.768732630E-2,8.818624541E-3
1.161507396E1,-8.248134516E-3,7.570511661E-3,-9.879163466E-3
1.162512096E1,4.200693220E-4,-1.714223996E-2,-1.531031914E-3
1.163516696E1,2.478932589E-2,8.619050495E-3,-2.496427856E-3
1.164521296E1,2.115309052E-2,1.373570319E-2,-1.327314647E-3
1.165525896E1,6.901450455E-3,3.944592550E-3,-4.756134935E-3
1.166530496E1,-8.897717111E-3,-2.212904952E-2,-7.564794272E-3
1.167535096E1,-8.821284398E-3,-1.822219230E-2,-1.475559548E-2
1.168539796E1,-4.452881869E-3,1.065224130E-2,-2.819799120E-3
1.169544396E1,-4.182837438E-3,6.903841626E-3,4.197097383E-3
1.170548996E1,-1.931668818E-2,4.028896336E-3,-1.309786737E-2
1.171553596E1,-2.100353315E-2,7.524028886E-3,-1.389708184E-2
1.172558196E1,8.577282541E-3,-1.396050560E-3,-4.317382351E-3
1.173562896E1,2.038041130E-2,1.630365616E-3,-7.179480977E-3
1.174567496E1,2.311397344E-3,-9.973753477E-4,-1.061495859E-2
1.175572096E1,-4.097499885E-3,-5.748454947E-3,-6.678540260E-3
1.176576696E1,-7.662982680E-4,-5.645975005E-3,-2.993712202E-3
1.177581296E1,8.367812261E-3,-5.179655273E-3,-2.084242646E-3
1.178585896E1,1.162999123E-2,-4.617436323E-3,3.314344678E-3
1.179590596E1,1.123317983E-2,-1.232808642E-2,5.966853350E-3
