"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.301145625E0,9.451203818E-1,1.831640028E-1,-5.847932656E-2,-2.641561528E-1,3.813990591E1,2.215757922E1,-7.891144716E-1,-3.138530798E1
1.311164625E0,9.451546893E-1,1.829805955E-1,-5.825704935E-2,-2.642101007E-1,3.812787137E1,2.212992472E1,-7.696890227E-1,-3.138630719E1
1.321184625E0,9.451792188E-1,1.827980153E-1,-5.803512512E-2,-2.642971761E-1,3.811926459E1,2.210239582E1,-7.495183511E-1,-3.139118997E1
1.331203625E0,9.451919893E-1,1.826363242E-1,-5.780563026E-2,-2.644136279E-1,3.811478299E1,2.207699671E1,-7.272044470E-1,-3.139935790E1
1.341222625E0,9.451972787E-1,1.824773252E-1,-5.753766060E-2,-2.645629331E-1,3.811292661E1,2.205069525E1,-6.999087115E-1,-3.141048697E1
1.351241625E0,9.451911253E-1,1.823429664E-1,-5.724427112E-2,-2.647413828E-1,3.811508622E1,2.202636976E1,-6.684332233E-1,-3.142446606E1
1.361260625E0,9.451776172E-1,1.822451909E-1,-5.697644370E-2,-2.649146274E-1,3.811982660E1,2.200695968E1,-6.386826841E-1,-3.143846345E1
1.371279625E0,9.451628237E-1,1.821543645E-1,-5.675886059E-2,-2.650762606E-1,3.812501744E1,2.198991879E1,-6.144021142E-1,-3.145227734E1
1.381298625E0,9.451459860E-1,1.820787372E-1,-5.660101538E-2,-2.652223205E-1,3.813092471E1,2.197648009E1,-5.964457748E-1,-3.146566891E1
1.391317625E0,9.451310028E-1,1.820093424E-1,-5.646692518E-2,-2.653518589E-1,3.813618062E1,2.196448441E1,-5.812325970E-1,-3.147768250E1
1.401336625E0,9.451231003E-1,1.819452845E-1,-5.634758111E-2,-2.654488598E-1,3.813895245E1,2.195353593E1,-5.681808734E-1,-3.148623718E1
1.411355625E0,9.451166939E-1,1.818854044E-1,-5.625644909E-2,-2.655321420E-1,3.814119933E1,2.194395062E1,-5.583548513E-1,-3.149384603E1
1.421374625E0,9.451057147E-1,1.818452384E-1,-5.617230290E-2,-2.656166254E-1,3.814504978E1,2.193680196E1,-5.486321932E-1,-3.150176739E1
1.431393625E0,9.450917641E-1,1.818180853E-1,-5.610049521E-2,-2.657002026E-1,3.814994175E1,2.193150745E1,-5.398504136E-1,-3.150987466E1
1.441413625E0,9.450812906E-1,1.817877185E-1,-5.605402831E-2,-2.657680801E-1,3.815361402E1,2.192665058E1,-5.342611486E-1,-3.151672695E1
1.451432625E0,9.450716811E-1,1.817530949E-1,-5.605223707E-2,-2.658263270E-1,3.815698306E1,2.192273556E1,-5.338467438E-1,-3.152347662E1
1.461451625E0,9.450613762E-1,1.817051318E-1,-5.604597826E-2,-2.658968176E-1,3.816059558E1,2.191718487E1,-5.330959972E-1,-3.153154662E1
1.471470625E0,9.450457608E-1,1.816511680E-1,-5.600917879E-2,-2.659969796E-1,3.816606915E1,2.191000243E1,-5.285696532E-1,-3.154238423E1
1.481489625E0,9.450255092E-1,1.815773478E-1,-5.593588542E-2,-2.661348209E-1,3.817316667E1,2.189944381E1,-5.198842490E-1,-3.155678209E1
1.491508625E0,9.450010430E-1,1.815089487E-1,-5.582886931E-2,-2.662904481E-1,3.818173961E1,2.188842164E1,-5.069872252E-1,-3.157248906E1
1.501527625E0,9.449743008E-1,1.814719912E-1,-5.567370042E-2,-2.664432093E-1,3.819110791E1,2.187939022E1,-4.879638446E-1,-3.158678173E1
